Storage Bin,Material,Material Description
R21L05,5002898,Kontaktor DIL EM 10.G Moeller
R21L05,5002899,"Kontaktor DIL ER 22 G, 24 VDC"
R05L03,5002900,Kontaktor LC 1D09 M7 Schneider 220 VAC
R05L03,5002902,"Kontaktor LC 1D115 F7 110V ""Tele"""
R10L03,5002904,"Kontaktor LC 1D12 M7 3P, 12A Schneider"
R20L03,5002905,"Kontaktor LC 1D128 D7, 42 V"
R10L03,5002906,"Kontaktor LC 1D18 M7 3P, 18A Schneider"
R20L03,5002907,"Kontaktor LC 1D1801 D7,42 V"
R20L03,5002908,"Kontaktor LC 1D25 D7,42 V"
R10L03,5002909,"Kontaktor LC 1D25 M7 3P, 25A Schneider"
R20L03,5002910,"Kontaktor LC 1D258 D7,42 V"
R21L05,5002912,Kontaktor LC 1D3201/ 32 M7 Tele
R20L03,5002913,"Kontaktor LC 1D40008 D7,42 V"
R05L03,5002915,"Kontaktor LC 1D95 F7 110v ""Tele"""
R05L03,5002916,"Kontaktor LC 1K0601 F7 ""Tele"""
R05L02,5002918,Kontaktor LC1D150F7 110 Volt Schneider
R05L03,5002919,Kontaktor LC1D32F7 Coil 110VAC Schneider
R01L05,5002920,"Kontaktor LC1D95M7, 1NO 1NC SCHNEIDER"
R12L05,5002922,Kontaktor mesin lakban (motor circuit)
R17L03,5002923,Kontaktor Relay 3TH 4244-OXPO
L02L09,5002924,Kontaktor Siemens 3 RT 101S - 1AP01
R17L04,5002925,"Kontaktor Siemens 3TF 34-00-0XPO,SIEMENS"
R10L03,5002926,Kontaktor SN-10 220 Volt Mitsubishi
R10L03,5002927,Kontaktor SN-10 380 V Mitsubishi
R10L03,5002931,Kontaktor SN-35 220 V Mitsubishi
R18L01,5002932,Kontaktor S-P 35 SHIHLIN
R18L01,5002933,Kontaktor S-P 50 SHIHLIN
R10L05,5002934,Kontrol sensor PLC SINEAX
R10L04,5002935,Kontrol Unit KFA6-5R2-Ex 1
R15L05,5002936,Kran TOTO T 205 QN
R21L04,5002938,Kunci display ACT
R10L01,5002939,Kunci pintu Glatt
R06L06,5002940,Label Feed Belt C
R06L06,5002941,Label Feed Drive Wheel
R06L06,5002942,Label Feed Roller C
R06L06,5002943,Label Feed Roller M
R04L03,5002944,Lampu Alarm Hydrant Stanley AC/DC 24V
R04L04,5002945,Lampu Bohlam 5 W (pijar)
R04L04,5002946,"Lampu bohlam 5 watt, putih susu"
R24L06,5002947,Lampu culcatute  160 cm
R24L06,5002948,Lampu culcatute  185 cm
R24L06,5002949,Lampu culcatute  200 cm
R24L06,5002950,Lampu culcatute  220 cm
R24L06,5002951,Lampu culcatute  240 cm
R24L06,5002952,Lampu Culcatute  49 cm
R24L06,5002953,Lampu culcatute  95 cm
L01L05,5002954,"Lampu Data Logic/ Sensor 2600030, 6V/6W"
R04L05,5002957,Lampu Halogen 1000 W
R04L05,5002958,Lampu Halogen 150 W
R04L04,5002959,"Lampu Halogen 25 W,220 V"
R01L04,5002961,Lampu Indikator 110/130v -20mA
R01L03,5002962,Lampu Indikator 220/260v -3 W
R01L04,5002963,"Lampu Indikator 24 Volt, 5 Watt"
R21L05,5002964,"Lampu indikator 30 v - 0,11A"
R01L04,5002965,"Lampu Indikator 48 v - 0,11A"
R01L04,5002966,"Lampu Indikator 6,3 v - 0,11A"
R01L04,5002967,"Lampu indikator 6,3 Volt - 0,15 A ulir"
R01L04,5002968,"Lampu Indikator Timbangan 7 Watt, 220V"
R04L04,5002969,Lampu Jantung 25 W / Hias
R05L04,5002972,Lampu LED MR 16 7w/ 3000K Philips
L02L10,5002974,Lampu Mercury 500 W ML500W E40 PHILIPS
L01L07,5002975,"Lampu Mercury ML 160 Watt, PHILIPS"
R01L03,5002976,Lampu panel (Hijau) 220 V SCHNEIDER
R01L03,5002977,Lampu panel (Kuning) 220 V SCHNEIDER
R01L03,5002978,Lampu panel (Merah) 220 V SCHNEIDER
R01L04,5002979,"Lampu panel kaki bayonet 220V, 3 Watt"
R04L05,5002981,"Lampu Par 30/ 75 Watt, Osram"
R04L05,5002982,Lampu Par 38 / 120 w
R04L05,5002983,Lampu Par 56 / 300 w
R04L04,5002984,"Lampu PLC 13 W/ 827SP, warna kuning"
R04L04,5002985,LAMPU PLC 18 W
R04L04,5002986,"Lampu PLS 9 W/ 827SP, warna kuning"
R21L05,5002987,Lampu sensor photo 7.2V-0.7A
L01L07,5002988,Lampu SL 14 W/ 827 PHILIPS (Warm)
R05L04,5002989,Lampu SL 32 W
R05L04,5002991,Lampu SLE 50 Watt cooldaylight PHILIPS
L02L10,5002992,Lampu SON 250 Watt (mercury kuning)
R01L04,5002993,Lampu tabung putih Ø3 x 96 mm
R04L05,5002994,Lampu TL 8 W Putih  Ø 15 x 300 mm
R01L06,5002998,"Lampu TLD 36 W/ 827, warna kuning"
L02L10,5003000,Lampu TLE 22 watt cooldaylisght Philips
L02L10,5003001,Lampu TLE 32 watt cooldaylight Philips
R11L06,5003002,Lampu Ultra Violet S36RL Sterilight
R11L06,5003003,Lampu Ultra Violet S810RL Sterilight
R17L03,5003005,LANDIS &GYR LOK 16 250 A 27
R04L04,5003006,"Las Dop Legrand P74 (2,5-4mm)"
R06L05,5003008,LE 1275 ALMAPLEX Grease
R06L04,5003009,Lem Aibon @700 Gram
R06L05,5003012,Lem Power Glue Dextone HJ
R06L05,5003014,"Lem Silicon, Merk SCIWIN SILICON"
R06L04,5003015,Lem Spindel Pin
R06L04,5003016,Lem Tip Top PC-4 + Hardener SN 532 0352
R10L05,5003018,"Lens tisue ""NICHARU"""
R20L02,5003020,Level Switch Pendingin LS 704 - 31
R09L05,5003021,Light barrier M12-F1-IR/76b/124
R09L05,5003022,Light barrier MV12-F1/82b/124/128
R08L05,5003023,Limit switch STAHL NO - NC EX II 2G
R09L05,5003024,Limit switch-ind M12x1 4mm / 24V P+F
R21L04,5003025,Line Printer uk. 25 x 25 x 9 mm
R03L03,5003026,Linear bushing ( LMK 13 LUU ) merk : BMB
3211010285,5003030,"LM Guide LWLF 24 C1BCS HS2, IKO"
R02L03,5003033,"LM Guide SRS12WMUU (GK) (Block),THK"
R19L04,5003036,Load Wheel Jungheinrich PN: 50060757
R19L04,5003037,Load Wheel P/N: 167602
R25L05,5003038,Lockcase griff 2112 - SS
R08L04,5003040,Locking NW 150-250 type MC
R09L03,5003041,Long sealer heater / Cast In Ring
R09L03,5003042,Long sealer heater thermocouple 75L
R06L03,5003043,Louver/ Swing Motor 30BY-32 12 VDC
R31L04,5003044,LPS3 Heavy Rust Inhibitor 11OZ 00316
R11L02,5003045,Lube oil protection P30-3801-080 RANCO
L01L02,5003048,Magnetic Brake model: POB-1.2 brand
R18L04,5003049,Magnetic Contactor H80C coil 220-240 V
R14L04,5003051,"Make-Up Alpha Jet, type: 1006.8306"
R14L02,5003052,"Make-Up, TH Type A, Hitachi"
R07L02,5003053,Male tembaga Dia. 1 1/4 inch
R07L02,5003054,Male Tembaga Dia. 1 inch
R16L03,5003057,"Mata bor besi uk. 14 mm,NACHI"
R16L03,5003058,"Mata bor besi uk. 15 mm,NACHI"
R16L03,5003059,Mata bor besi uk. 3 Nachi
R16L03,5003064,Mata bor beton SDS Plus 10 mmx160 BOSCH
R16L03,5003066,Mata bor beton SDS Plus 8 mm x 160 BOSCH
R16L03,5003068,"Mata gerinda amplas 4"" (berlapis)"
R16L03,5003071,"Mata gerinda poles tebal 4"""
R16L03,5003072,"Mata gerinda poles tipis 4""  Resibon"
R16L03,5003073,"Mata gerinda potong 14"""
R16L03,5003075,"Mata gerinda sponge 1000 Ø4"""
R16L03,5003076,"Mata senai manual 1 1/4"""
R01L02,5003078,MCB 1 phase 10 A iC60N SCHNEIDER
R01L02,5003079,MCB 1 phase 16 A iC60N SCHNEIDER
R01L02,5003080,MCB 1 phase 2 A iC60N SCHNEIDER
R18L01,5003081,"MCB 1 phase 2 pole, 20 Amp"
R01L02,5003082,MCB 1 Phase 25 A iC60N SCHNEIDER
R01L02,5003083,MCB 1 phase 32 A iC60N SCHNEIDER
R01L02,5003084,MCB 1 phase 4 A iC60N SCHNEIDER
R01L02,5003085,MCB 1 phase 6 A iC60N SCHNEIDER
R01L02,5003087,MCB 3 Phase 16 A iC60N SCHNEIDER
R01L02,5003090,MCB 3 Phase 50 A iC60N SCHNEIDER
R01L02,5003092,MCB 3 Phase 63 A iC60N SCHNEIDER
R12L05,5003094,MCB 3 Phase tele GV2ME14 / 6-10 A
R29L05,5003096,"Medium filter 24""x20""x12"" eff 90-95% EU8"
R16L06,5003097,"Medium filter 24x24x12"" DH Eff.: 90-95%"
R19L03,5003100,Mekanikal seal CR5-24 96455086 Grundfos
R31L04,5003101,Membran Gemu material EPD
R31L04,5003102,Membran pressure tank AFE 150 litres
R10L02,5003103,Membran Regulator uk. Dia 58 X 0.8 mm
F0201,5003105,Mesh Conidur Screen Ø1240x0.5mm
R20L04,5003107,Mesh diskmill FFC 37
R08L03,5003108,Mesh Giling gula (Dump)
R20L04,5003109,Mesh pin diskmill
F0201,5003110,Mesh Stainlelss 8 SUS 304
F0201,5003112,Mesh SUS uk. 16
F0201,5003113,Mesh SUS uk. 20
F0201,5003114,"Mesh SUS uk. 30, SS 304"
F0201,5003115,Mesh uk. 10 SS
F0201,5003116,Mesh uk. 12 SS 304
F0201,5003117,Mesh Uk. 60 (250 micron)
R08L05,5003124,Metal Sensor Discharge 24 V
R09L02,5003125,Metering Valve with silincer ASN2-M5 SMC
R08L02,5003126,Mettler Toledo Panel Mount PTPN1000045
R05L05,5003133,MK In bow plat 70 X 70
R11L03,5003136,Monitor RH Indikator ellilweel & dixel
R07L03,5003137,Motor Dehum(Motor+Gearbox+Bracket+Pully)
R21L01,5003138,Motor electric BONFIGLIOLI TAV465 0.55KW
L01L03,5003139,Motor Electric SUMITOMO ASTERO A7R15C
L01L03,5003140,Motor electric SUMITOMO ASTERO A8HM25C
R21L01,5003141,Motor Electric Vacum Dust 0.5 Hp 2-4pole
R06L03,5003142,"Motor Fan Indoor AC, 220 - 240 VAC, 1Ph"
R09L05,5003143,Motor protection 3RV1011-1JA10 SIEMENS
R09L05,5003144,Motor protection 3RV1021-OJA10  SIEMENS
R10L05,5003145,Motor Protection CK144 PN199938487719772
R08L05,5003146,Motor Protection STAHL 8523/82-10-040
R02L02,5003148,Mount bracket vacum mechanis autohanger
F0301,5003150,"Muffler, Univ. URB-4 PN 34235"
R26L03,5003152,"Mur 4mm SUS/ M4, @pack 100 pcs"
R20L04,5003153,Mur diskmill
R10L01,5003158,Mur tutup sprayer
F0501,5003159,NaCl(Garam) (@1 Zak = 25kg)
R10L01,5003160,Needle / jarum spray P/N: 1-999-22705
R10L01,5003161,Needle Pressure Spring Mat. AISI 301
R10L02,5003162,"Nepple Adapter 1/8"" x M6, Hexagon 14"
R02L01,5003163,Nip Roller Feeding Box  KE Part. B Ø50mm
R02L01,5003164,Nip Roller Feeding Box KD Part. B Ø50 mm
R02L01,5003165,Nip Roller Main Body KE Part. B Ø64 mm
R31L04,5003167,"nipple slang 3/8"" x 3/8"" drat dalam SS"
L01L01,5003168,"Nittoflon 903UL T0,08mmx23mmx10m Hitam"
L01L01,5003169,"Nittoflon 973ULS T0,13mmx23mmx10m Coklat"
R21L04,5003171,Nozzle Bahan Acid prod.1
R21L04,5003172,Nozzle bahan SS
R10L01,5003175,Nozzle jarum sprayer SS
R16L03,5003176,Nozzle keramik las argon
R13L03,5003177,"Nozzle KNN8203 0.012"" (Stainless Steel)"
R21L04,5003180,"Nozzle sachet SS, prod.3"
R21L04,5003181,Nozzle sachet SS/Dose Funnel 00D07 PN S2
R03L03,5003182,NSK Cam Followers Bearing  FCRS-22+INZ
R06L03,5003183,"Nut Flaring AC 1/2"""
R06L03,5003184,"Nut Flaring AC 1/8"""
R06L03,5003185,Nut tembaga 5/8 inch
R08L05,5003187,Oil Filter BUSCH Vacuum Pump RA 0165 D
R28L03,5003188,Oil Food Grade Gear
R05L03,5003190,Oil Heater 150 W 120 V
R08L04,5003195,"Oil seal 24x14x6 mm, mat.: NBR"
R20L03,5003196,Oil Seal CR 14940 ex.USA
R20L03,5003197,Oil Seal CR 22363 ex.USA
R08L04,5003198,Oil seal double lip type TC 32x45x10 NBR
R33L05,5003199,Oil Suniso 3 GS (original)
R33L05,5003200,Oil Suniso 4 GS (Original)
R33L05,5003201,Oil Vacuum Pump VM 100 0831 000059 Busch
L02L05,5003202,One way control valve GRLA1/4-QS-10-RS-D
L02L05,5003204,One way control valve GRLA-1/8-QS-4-RS-D
L02L05,5003205,One way control valve GRLA1/8-QS-6-RS-D
R10L05,5003206,Operating Device BT-814
R03L05,5003207,Optical fiber unit  FU-77TZ KEYENCE
L02L07,5003208,O-ring Air Shock Tank PIAB
R22L04,5003209,O-ring Cord 10 mm
R19L02,5003210,"O-ring inner dia 30 X 2,65"
R08L05,5003212,O-ring Ø286 x 4 mm Silicone 1-997-09491
R09L01,5003213,"O-ring rubber 22x1,5 mm"
R08L04,5003214,"O-ring Rubber 41x3,5 mm"
R08L04,5003215,O-ring Rubber 52x2 mm
R08L04,5003216,"O-ring Rubber 55x2,5 mm"
L02L09,5003219,Output Module 1746-OW16
R03L05,5003220,Output Module FC4A-T08K1
R17L04,5003221,Overload Siemens ( 40-57A) 3UA58 40-2T
R08L03,5003225,Packing O-ring Mixer Alkalis Teflon
R19L04,5003227,Packing set Biti P/N: 129881
R10L01,5003228,"Packing Teflon disc D40/h5/d8,5 mm"
R10L01,5003229,Packing Teflon Glatt 40x27x95/99 mm
F0201,5003230,"Packing Tombo no.1000, uk. 1mm"
F0301,5003231,"Packing tombo t=5 mm, Uk. 127x127 Cm"
F0201,5003232,"Packing white uk. 2 x 1,2 m"
R15L04,5003233,Paku Rivet uk. 4mm
R10L01,5003234,Panel Valve Pneumatic Festo SV-3-M5 6817
R15L04,5003237,Part Kunci Allumunium
R10L01,5003241,Pelor besar Ø 13.00 mm
R10L01,5003242,Pelor kecil Ø9.00 mm
R10L05,5003243,"Pembersih lensa (optik)""NICHIARU""/""CRC"""
R15L04,5003245,Pengunci Pegas pintu Allumunium
R15L04,5003246,Pengunci Pintu Allumunium
R15L04,5003247,Pengunci Pintu Besi atas dan bawah
R02L02,5003249,Penjepit vacuum pad auto hanger
R10L02,5003250,"Penumatic Rod Seal EU 32 - 42 - 11,2"
R21L04,5003251,Penyetel pengaduk bahan uk. 11 cm
R21L04,5003252,Penyetel pengaduk bahan uk. 9 cm
R21L04,5003253,Per SUS 304
L02L06,5003254,"Per uk. 7,5 x 24,1 x 1 mm"
L02L06,5003255,"Per uk. 7,5 x 24,1 x 1,2 mm"
L01L06,5003257,Peripheral Device Cable CS1W-CN114 Omron
R11L04,5003259,"PH Monitor 723II Myron L 1-14, 50 psi"
R20L05,5003260,Photo cell P/N: 84G901906A (KWS5205BF05)
R09L03,5003261,Photo electric switch CX-442 Panasonic
R02L04,5003262,Photo micro sensor  EE-SX670 Omron
R13L05,5003263,Photo Sensor Model: BEN300-DFR Autonics
L01L05,5003264,Photoelectric Color Mark Sensor BANNER
R13L05,5003266,Photoelectric sensor E3F3-D32 2M OMS
R03L05,5003267,Photoelectric sensor FS-N41N KEYENCE
R03L05,5003271,Photoelectric Sensor PZ-G51N
R13L05,5003272,"Photomicrosensor ""OMRON"" EE-SX671"
R13L05,5003273,"Photomicrosensor ""OMRON"" EE-SX871 2M"
L01L06,5003274,Photomicrosensor EE-SX670A
R02L04,5003275,Photomicrosensor EE-SX670-WR 1M OMRON
R02L04,5003276,Photomicrosensor EE-SX674 OMRON
R02L04,5003277,Photosensor type UM-T50DNS TAKEX
R17L03,5003278,Pijar Panas 111 764 1003 / 9
R18L02,5003279,"Pillow BLK UCP210 , FYH"
R08L02,5003280,"Pillow Block UCP 204, FYH"
L02L04,5003282,Pillow Blok UCFL204 FYH
R07L02,5003283,Pin Connector for Optimat Belt Optibelt
L02L06,5003284,Pin Sealer Mesin Topack 10 x 38 mm
R10L02,5003285,Pin Valve hidrolik shacking mat: SS 304
R06L06,5003286,Pinion Drive
R32L02,5003289,"Pipa BSP 1"" sch 40 sm/5 BS"
R32L02,5003291,"Pipa BSP 1/2"" sch 40 sm/5 BS SEAMLESS"
R32L02,5003293,"Pipa BSP 11/4"" sch 40 sm/5 BS SEAMLESS"
R32L01,5003294,"PIPA BSP 2"" SCH 40 SM/5 BS SEAMLESS"
R32L02,5003295,"Pipa BSP 3/4"" sch 40 sm/5 BS"
R32L02,5003296,Pipa Conduit / PVC uk.25 mm Clipsal
R32L02,5003297,Pipa Conduit 20 mm Clipsal
R32L02,5003298,Pipa GIP medium bakri dia 1/2 inch
R32L02,5003301,Pipa Hollow SUS 304 uk. 50 X 50 mm
R32L02,5003309,Pipa SUS 304 dia 1 inch
F0101,5003310,"Pipa SUS 304 dia. 1"" @ mtr"
F0101,5003311,"Pipa SUS 304 dia. 2"" @ mtr"
R32L02,5003312,Pipa SUS 304 uk. 1/2 inch
L02L01,5003313,Pisau i-nock/Slitter Knife HSS 70x25x3mm
R19L02,5003319,Piston assembly 61305330 DXR20.5-33
R10L01,5003320,Piston Pressure Spring Mat:AISI 301
R09L01,5003321,Piston Vacuum PIAB + seal uk. 15 x 50
R32L02,5003324,"Plat strip 3 x 30 mm x 6 mtr, SS 304"
R10L02,5003325,Plat Switch Valve Pneumatic
R10L01,5003326,"Plate dudukan baut pengunci Mesh Prod.3,"
R21L03,5003327,Plate kople 11002
R21L03,5003328,Plate kople 14131
R21L03,5003329,Plate kuncian foil SS uk. 130x60x15 mm
L02L06,5003330,"Plate Ring Bronze ID7,5xOD15,3xT 2,1 mm"
R21L03,5003331,Plate Ring dia 18 cm P/N 10963
F0301,5003332,"Plate SUS 304 1200mmx2400mmx0,8mm"
R08L02,5003333,Plated Catridge Filter  ID88XOD147X215mm
R08L02,5003334,Plated Catridge Filter ID93xOD150x220mm
R17L02,5003335,Plated Catridge Filter Solar
R21L05,5003336,PLC CQM1-1D212 OMRON
L01L03,5003337,"PLC KV-3000 CPU Unit, Keyence"
R13L05,5003338,"PLC KV-C32TC I/O, Output Unit ""Keyence"""
R13L05,5003339,"PLC KV-C32XC I/O, Input Unit ""Keyence"""
L01L03,5003340,"PLC KV-C64TA I/O Unit ""Keyence"""
R13L05,5003341,"PLC KV-C64TC I/O, Output Unit ""Keyence"""
L01L03,5003342,"PLC KV-C64XB I/O Unit, Keyence"
L01L03,5003344,PLC KV-TF40 Temp Controller Keyence
R08L05,5003345,Plug FBS-SUB-9-GS-DP-B for PROFIBUS
R10L03,5003346,Pneumatic contact  Ø4mm Harting
R18L02,5003349,"Pneumatic Rod seal EU 20 x 30 x 10,7"
R10L01,5003350,"Pneumatic Schalter 8978209,0-6 Bar"
R09L04,5003351,Pneumatic Spring D28 Hub 150 480N
L02L08,5003352,Pneumatic Valve Herion 2623077 2-8 Bar
R21L05,5003353,Pneumatic Vibrator EUROVIBRA VT-9
R21L05,5003354,PNP NO Proximity Switch OMRON
R17L02,5003356,Pompa Oil / Fuel SUNTEC TA4C-4010
R17L02,5003357,Pompa oil SUNTEC J6 CCE 1002
L02L08,5003359,Potensio semi digital Bourns 3683S-1
R09L05,5003361,Potentiometer PN. 115250
R02L04,5003362,Power Relay G2R-2-SND DC24 (S) OMRON
R10L04,5003364,Power supply SIEMENS 3RX9307-0AA00 30VDC
R16L02,5003366,"Press gauge 0-160 Psi, SS Liquid Filled"
L02L07,5003367,Press Regulator LRMA-1/8-QS-6 Festo
R01L04,5003368,"Pressure Control FANAL FF 4-4 DAH R.3/8"""
L02L07,5003370,Pressure gauge GP46-10-01L5 SMC
R31L04,5003372,"Pressure Regulator IR2010-02-A, SMC"
R10L05,5003374,Pressure Tranduser 3272-075-0101
R10L05,5003375,Pressure Tranduser 9407-245-03601
R06L06,5003376,Print Hub model T Lines
R06L06,5003377,Print Pressure Roller
R01L02,5003378,"Prise Mobile Droite 63A, 3PT, 480-500V"
R09L05,5003383,Proximity sensor cable PN CID3-2 Autonic
R20L03,5003384,Proximity Sensor PR30-15DP Autonics PNP
R19L02,5003385,Proximity Switch E2B-M12KN05-M1-B1 Omron
R23L04,5003386,"PRV 1 1/2"" u/ Air Bersih"
R23L04,5003387,"PRV 1 1/4"" u/ Air Bersih"
R24L01,5003388,"PRV 2 1/2"" Spirac Sarco"
R25L01,5003389,"PRV 2 1/2"" u/ Steam"
R02L03,5003391,Pulley 9921-03041
R20L03,5003392,Pulley seling pintu lift
R10L02,5003393,PulleySelingFilter Glatt OD40XID10xT14mm
R06L02,5003395,"Pump Parts, PN: 451586"
R21L05,5003398,Push button 2 posisi NO - NC
R10L05,5003399,Push button actuator T-22-SW-9289
L02L08,5003400,Push Button Allen Bradley P/N S800184
R21L05,5003401,Push Button Digital
L01L05,5003402,Push Button IDEC type ABW111G
L01L05,5003403,Push Button IDEC type ABW111R
R01L03,5003405,Push button NO/NC (merah)
R21L05,5003407,Push button SSHNEIDER Merah XB5AA42
R15L04,5003408,Push button unit TH302R TOTO
R01L03,5003410,"Push Button XB5AW34M5, Red flush"
R03L04,5003411,Pusher ( Vegeta )
R03L04,5003412,Pusher AS (Adem Sari)
R03L02,5003413,Pusher Carton uk. 11 x 16 x480 mm
R03L04,5003414,Pusher SC (Sensa Cools)
R25L02,5003415,Push-in bulkhead connector QSMS-4 FESTO
R25L02,5003416,Push-in connector QS-8-4 Reducing FESTO
R25L02,5003417,Push-in connectorQS-10-6 Reducing FESTO
R25L02,5003419,Push-in/Threaded L-fitting  FESTO
R28L04,5003420,"PVC Duct Putih, uk. 2,5 x 2,5 cm"
R11L06,5003422,Quartz Sleeve QS-012 Sterilight
R09L05,5003424,Rail-mounted terminal block 859-304 WAGO
R10L02,5003425,Range Adjust Assembly APPositioner parts
L02L01,5003427,Rantai Ramda chain with K1 Attachment
R08L01,5003428,Rantai RS 40 (Nikken)
R17L01,5003429,Rantai RS 80-2 Hitachi
R01L05,5003431,Ratchet Relay G4Q-212S AC220 OMRON
R06L05,5003432,Red Silicone merk Dextone
R27L01,5003435,"Reduser drat Glv 1 1/2 x 1 1/4"""
R27L01,5003436,"Reduser drat Glv 1 x 3/4"""
R27L01,5003437,"Reduser drat Glv 2 x 1 1/2"""
R27L01,5003438,"Reduser drat GLV Ø2 1/2"" x 2"""
R27L01,5003439,"Reduser las 1"" x 1/2"" SCH 40"
R26L01,5003440,"Reduser Las 4"" X 2"""
R10L01,5003442,Reduser Spray Glatt Ø8xØ15x70mm
R27L01,5003443,Reduser SUS 304 1 inch x 1/2 inch
L01L06,5003445,Reflector E39-R3 Omron
R03L05,5003446,Reflector for PZ series type R-5 KEYENCE
R10L04,5003449,Reg elektronik 996 0.1-8 Bar SAMSON
R17L04,5003450,Regulator Electronicon P/N: 1900-0710-32
R08L02,5003452,Regulator Unit Parker 15A22A18A2NE
R01L04,5003454,Relay 220 VAC AM A4D3/ 3ARR3J24C2
R09L03,5003455,Relay AHN22324N Matshushita (Panasonic)
R17L03,5003456,"Relay finder 55,34 5A ,250V"
L02L08,5003457,Relay G7L2A TUBJ - CB OMRON
L02L08,5003458,Relay Idec RH 1B-U-120V P/N S800574
R20L05,5003459,"Relay JZC-23F/2N 4123, 24 VDC"
R01L04,5003460,Relay Ly 2 220/240 V OMRON
R01L04,5003461,Relay Ly 4 220 V
R01L04,5003462,"Relay LY2N, 24VDC, OMRON"
R01L04,5003463,Relay MK 2P1 220 V
R01L04,5003464,Relay My 2 220 V
R21L05,5003466,Relay My 2 N 24 VAC
R01L04,5003467,"Relay My 4 220 V, Omron"
R21L05,5003468,Relay My 4 24 VDC
R01L04,5003469,"Relay MY4N-GS, 24 VAC"
R21L05,5003470,Relay Omron G 6 B - 1174P 24V DC
R21L05,5003471,Relay Omron G 6 RN 5V DC
R06L02,5003472,"Relay Omron G6M-14 , 24VDC"
R21L05,5003473,Relay PILZ PNOZX2 24 VDC/AC
L02L08,5003474,Relay Potter & Brumfield 110V
R10L05,5003475,"Relay SCRHACK, RYS11024 - 24V DC"
R01L05,5003476,"Relay Unit 61F-11, OMRON"
R01L04,5003481,Rell MCB 1 ph / Busbar sisir 12 modul
R08L02,5003484,Remote I/O Scanner 1747 - SN
R09L05,5003489,Resistor Kontaktor 3RT1916-1BB00 SIEMENS
R10L04,5003498,"Press Regulator NL 4 part, AVENTICS"
R31L04,5003500,Ring Gemu 35x54x4 mm POM Putih
R31L04,5003501,"Ring Gemu 54x79x2 mm, material: Teflon"
R31L04,5003502,"Ring Gemu 60x69x2 mm, material: Teflon"
R25L04,5003503,Ring Per M6 SUS tebal 2mm @ pack 100 pcs
R09L01,5003504,"Ring plate ID 6 x OD 13 X 1,5"
R25L04,5003505,"Ring plate M6 SUS tebal 1 mm, @ 100 pcs"
R08L03,5003507,Ring Teflon Damp Scalling mat. POM
R06L02,5003508,"Ring, Retaining PN: 206-139"
R06L02,5003509,"Ring, Retaining, prong lock PN: 206-221"
R09L04,5003510,Rip Stop Sealing P/N: 370358
R03L03,5003512,Rod Ends PHS 6A ( kanan ) merk: IKO
R03L03,5003514,Rod Ends POS 10A ( kanan ) merk: IKO
R03L03,5003515,Rod Ends POS 10LA ( kiri ) merk: IKO
R03L03,5003516,Rod Ends POS 12A ( kanan ) merk: IKO
R03L03,5003517,Rod Ends POS 12LA ( kiri ) merk: IKO
R03L03,5003518,Rod Ends POS 6A ( kanan ) merk: IKO
R03L03,5003520,Rod Ends POS 8A ( kanan ) merk: IKO
R03L03,5003521,Rod Ends POS 8LA (kiri) merk: IKO
R31L03,5003522,"Roda 3"" (memutar+ REM) Polyurethane"
R31L03,5003525,"Roda 3"" (tidak memutar) Polyurethane"
R20L03,5003526,Roda Gantung pintu lift K56/ KS 200
R21L04,5003529,Roll nylon konveyor uk.dia 60 x 486 mm
R10L01,5003530,Roll Paper
R21L04,5003531,Roll PIN 3 x 25 mm
R09L02,5003533,Roller Conveyor TOKIWA Ø20 x P. 280
R09L02,5003534,Roller Conveyor Tokiwa SUS304 Ø20xP223mm
R02L03,5003535,Roller Follower NATR5XLL
R02L02,5003537,Roller Thicknes sensor Ø17 x 115 mm
R02L02,5003538,Roller Thickness Sensor
R21L02,5003539,Roller Web strimin SUS 304 Ø32x471mm
R21L02,5003540,Roller Web SUS 304 uk. Dia 32 x 471 mm
R21L02,5003541,Roller Web SUS 304 uk. Dia 32 x 650 mm
R16L05,5003542,Roof Drain
R06L06,5003543,Roopveel seal
R03L04,5003547,Rotary cutter PN : 08-24-1
R09L02,5003548,"Rotary long sealer roller Ø30 x 26,6"
R09L03,5003549,Pinch Roller with Cam Folower
R08L04,5003550,"Rotor Mill Lifting, Material SUS 316L"
R21L04,5003552,Rubber batch tebal 465x10x6 mm
R21L04,5003553,"Rubber batch tipis445x10x2mm/480x9,5x3mm"
R05L02,5003554,Rubber Coupling uk. OD31 x ID16 x T18 mm
R05L02,5003555,Rubber Coupling uk. OD40 x ID24 x T22 mm
R09L01,5003556,Rubber seal 14x20x4 mm
R08L04,5003557,Rubber seal 32 x 47 x 11 mm
F0201,5003558,Rubber Sheet uk. 1 x 1 m x 10 mm
R21L04,5003560,Safety filter catridge
R09L03,5003562,"Safety Relay Unit G7SA-4A2B DC24, Omron"
R10L02,5003563,Safety Ring
R08L05,5003564,Safety Sensor BNS250-11zG+BPS250
R17L02,5003567,Safety Valve Spirax Sarco SV615AS
R04L03,5003568,"Saklar 4 Switch, Clipsal"
R04L03,5003569,Saklar Double Merk Clipsal
R04L03,5003570,"Saklar Seri/Double (With Frame), Clipsal"
R04L03,5003571,"Saklar Tunggal (With Frame), Clipsal"
R04L03,5003572,Saklar tunggal Merk Clipsal
R18L01,5003573,Sambungan Rantai RS 50-2
R21L04,5003574,Sambungan Rantai RS-20
